fipscode,growth rate
28071,0.0271
21209,0.0403
22117,0.0221
18099,0.0326
32005,0.0907
40021,0.0258
37093,0.0308
21107,0.018
22061,0.0296
45025,0.0515
51047,0.0289
26059,0.0545
42087,0.0331
37153,0.0362
40071,0.0266
5093,0.0123
12039,0.0523
21101,0.0271
19181,0.0295
27049,0.0442
49021,0.0511
18093,0.0419
56005,0.0167
31019,0.0403
41041,0.0678
48325,0.0516
42099,0.0286
39011,0.0412
22095,0.0057
42061,0.0317
55005,0.0417
39091,0.0425
40121,0.0206
13009,0.0354
16011,0.079
6009,0.0563
13071,0.0442
37181,0.017
48373,0.0497
26023,0.0528
42065,0.0322
51185,0.024
47003,0.0615
27061,0.0426
40137,0.0332
42119,0.0303
48013,0.0589
6093,0.049
39015,0.0393
53075,0.0704
13275,0.0367
55081,0.0403
47123,0.0498
50025,0.0157
54069,0.0332
27007,0.048
18145,0.0368
29027,0.0405
55095,0.0404
55031,0.0322
19033,0.0267
29029,0.0491
32023,0.0758
28045,0.0176
55033,0.0313
1047,0.0172
56037,0.0248
39033,0.0234
33019,0.0344
1021,0.0261
39071,0.0334
53065,0.0618
51540,0.0357
5091,0.0336
42083,0.0274
21179,0.0458
39097,0.0448
42115,0.021
48473,0.0557
26151,0.0433
51590,0.0148
13137,0.0396
48493,0.0551
36073,0.0363
26107,0.0474
29023,0.0199
48053,0.0506
19139,0.0246
39051,0.0339
54099,0.0103
26057,0.0444
40013,0.0411
40135,0.0306
18071,0.0388
39075,0.0556
13069,0.04
39135,0.0328
27067,0.0413
18033,0.048
29159,0.0614
21009,0.0377
36121,0.0369
5055,0.0365
21211,0.0413
22009,0.0251
39027,0.0348
51171,0.0186
42117,0.0432
48499,0.055
55115,0.0275
18037,0.0424
47099,0.047
40083,0.0264
55075,0.0347
5139,0.0285
1123,0.0275
12121,0.0638
5005,0.0297
40041,0.0358
13233,0.0431
51195,0.0237
39123,0.033
48481,0.047
8085,0.0512
40097,0.0424
37059,0.0309
22119,0.0447
53047,0.0608
47051,0.0384
55093,0.0299
53037,0.0596
16017,0.0685
48249,0.0392
39107,0.0521
12075,0.0498
47013,0.0394
37139,0.0123
19127,0.0173
28113,0.021
29091,0.0344
19057,0.0232
37099,0.0253
35039,0.0113
30081,0.0378
56013,0.0232
13277,0.044
39021,0.0391
39059,0.049
40111,0.0315
12093,0.0407
42031,0.0313
47177,0.054
23013,0.0279
42109,0.038
13213,0.0444
22069,0.0093
17055,0.0142
37145,0.0297
21071,0.0048
36031,0.0353
18061,0.0377
48459,0.0365
16069,0.0732
42035,0.0397
27099,0.0516
12051,0.0556
20037,0.0225
47021,0.0601
39039,0.0457
18017,0.0265
17105,0.0156
45029,0.0335
17081,0.0349
23027,0.0311
42059,0.0152
17203,0.0271
29109,0.0483
26033,0.0562
27009,0.0407
18083,0.0397
48097,0.051
53017,0.069
47047,0.0349
37197,0.0354
47045,0.0287
1053,0.0175
18107,0.0382
48049,0.0499
6005,0.0509
48055,0.0545
19187,0.0246
18133,0.0389
48143,0.0488
51683,0.0559
27059,0.0374
24041,0.0295
1039,0.0512
17027,0.0308
55083,0.032
39171,0.0318
51187,0.0301
16065,0.0739
45071,0.0348
40123,0.0283
16057,0.0686
4009,0.0771
37003,0.0343
21035,0.033
28093,0.0166
18087,0.0383
50003,0.0151
18069,0.0343
21083,0.0266
26041,0.0473
17057,0.024
28003,0.0265
41007,0.0629
31157,0.0446
21089,0.0342
5009,0.0289
18103,0.0277
39031,0.0451
51073,0.0234
19099,0.0225
55045,0.0342
50001,0.0188
20055,0.0482
54045,0.0336
48321,0.0512
31053,0.0416
27085,0.0453
5063,0.0293
26061,0.0434
27147,0.0351
46013,0.0338
49043,0.0727
13299,0.0422
20035,0.0221
56001,0.0315
31111,0.0415
48189,0.0338
51083,0.024
29225,0.0366
37165,0.0168
39127,0.0366
17103,0.0043
27041,0.0471
55085,0.0198
22087,0.0178
19111,0.0265
51149,0.0252
48241,0.0499
47029,0.0379
22011,0.0272
21235,0.0266
19179,0.024
21049,0.0221
29009,0.0582
29105,0.0337
17137,0.0281
54025,0.0245
20125,-0.0033
27017,0.0424
23023,0.0363
51093,0.0214
36099,0.0416
37017,0.0284
48071,0.0519
48217,0.0457
47183,0.0372
48227,0.0751
17011,0.0226
45027,0.0173
6035,0.0566
31119,0.0528
51155,0.0342
28085,0.0249
12027,0.0585
39117,0.0419
17021,0.0293
28107,0.0321
55019,0.0318
20079,0.037
40087,0.0341
39137,0.0424
23015,0.0304
45089,0.0159
18001,0.0392
20061,0.0147
1079,0.0653
40081,0.0337
17049,0.0409
1017,0.018
30093,0.0415
18151,0.0359
22039,0.0369
37113,0.0272
37055,0.0199
48147,0.0473
48477,0.0506
19167,0.0405
20111,0.0264
54077,0.0303
18051,0.0457
51137,0.0178
18073,0.0407
17157,0.0233
48259,0.0461
22047,0.0207
29107,0.0362
47103,0.0396
19125,0.0306
18183,0.0402
39079,0.0447
18023,0.0314
27097,0.0417
18055,0.038
51001,0.0077
51109,0.0236
40089,0.0467
51023,0.026
45023,0.0434
26063,0.0363
54051,0.0317
37175,0.032
24011,0.016
45067,0.0463
33007,0.033
17133,0.024
35055,0.0662
5059,0.0231
18169,0.0357
23029,0.0282
13261,0.0313
13219,0.0454
20121,0.0327
36095,0.0289
26165,0.0497
51117,0.0098
27103,0.046
26047,0.0512
24019,0.012
17109,0.0277
49047,0.0475
29219,0.0349
27005,0.0548
18077,0.0531
51730,0.011
51009,0.0265
48449,0.0396
47079,0.0419
28083,0.0267
28001,0.0186
31141,0.0603
51173,0.0287
29209,0.0356
45033,0.0165
48273,0.0395
39065,0.0381
13145,0.0423
46011,0.0359
29069,0.0259
42047,0.041
21121,0.0729
48025,0.0573
40115,0.0347
47143,0.0432
47131,0.0286
1059,0.0351
18027,0.0432
27119,0.0482
22053,0.0337
21177,0.0192
21157,0.0375
31001,0.0455
41045,0.0556
2110,0.0267
27047,0.0392
50005,0.0277
29167,0.0353
8029,0.0477
39053,0.041
26035,0.0557
1093,0.0244
12129,0.0581
23007,0.033
54029,0.0189
47117,0.0686
48067,0.0354
17107,0.0329
13029,0.0363
17135,0.0243
13305,0.0459
24023,0.0224
51035,0.0275
13187,0.0447
53031,0.0487
55123,0.0428
27115,0.0325
17075,0.019
28099,0.0252
40015,0.0581
26007,0.0369
35017,0.0411
47055,0.0402
28029,0.0171
13227,0.0451
35047,0.0165
39073,0.0387
51197,0.0343
54035,0.034
20113,0.0316
56033,0.0324
39047,0.0328
45087,0.0479
50017,0.018
45069,0.0429
51167,0.0243
28137,0.0278
39019,0.0466
18137,0.0375
55121,0.0387
29127,0.0356
13143,0.0447
30047,0.0356
39161,0.0415
55069,0.0261
21193,0.0076
39131,0.0469
26105,0.0594
21013,0.0328
13169,0.0349
6015,0.0575
21163,0.0306
27021,0.037
39001,0.0447
51033,0.0209
18079,0.0352
47017,0.0329
12007,0.0603
21021,0.027
48015,0.0501
13177,0.039
13123,0.0411
42131,0.03
28123,0.0418
18175,0.0414
5123,0.0113
47115,0.0394
39069,0.043
54057,0.0216
56029,0.0417
8087,0.0724
6021,0.055
13195,0.0422
48363,0.0447
28163,0.0137
51145,0.0264
51053,0.0247
8117,0.071
22067,0.0183
13087,0.0364
49039,0.071
47097,0.0221
37123,0.0403
55029,0.0232
47077,0.0373
12049,0.0589
21043,0.0279
27079,0.0362
13225,0.0396
18179,0.0386
40049,0.0383
28127,0.0171
40039,0.0306
5015,0.0287
37039,0.0109
54053,0.0309
37009,0.036
47069,0.0234
50019,0.0315
13279,0.0507
35006,0.0221
13293,0.036
13311,0.0401
12003,0.0719
28091,0.0146
36049,0.046
16039,0.0599
45037,0.0359
37007,0.0227
18021,0.0413
21141,0.0334
55057,0.0315
22031,0.035
48185,0.0534
26127,0.0584
21173,0.035
24039,0.0087
40065,0.0275
13207,0.0399
48463,0.0554
48407,0.0484
19015,0.0253
54067,0.0276
51840,0.0197
13257,0.0398
18135,0.0464
26043,0.0422
26031,0.0456
16051,0.0774
5103,0.0291
27095,0.0328
19011,0.027
47109,0.0307
47071,0.0373
13055,0.0341
29215,0.0441
20059,0.0311
1019,0.0329
5023,0.0277
26029,0.0411
18129,0.0389
27015,0.0428
26069,0.0359
27083,0.0384
47185,0.0514
22003,0.0239
41061,0.0605
21085,0.039
18031,0.0423
26051,0.0644
51065,0.0192
29001,0.0356
51105,0.0222
5071,0.039
8083,0.0518
29007,0.0304
13267,0.0454
40133,0.0369
48419,0.0352
45001,0.0477
29175,0.0354
36123,0.042
41057,0.0484
31025,0.038
13147,0.0436
41065,0.0584
29221,0.0403
35029,0.0051
19149,0.0422
21239,0.0256
17165,0.0367
12133,0.0608
27153,0.0427
32001,0.0908
48171,0.0518
51775,0.0263
45053,0.0237
48331,0.0466
29131,0.0342
21137,0.0259
26101,0.0524
29055,0.0267
47081,0.0392
37091,0.0297
21081,0.02
18181,0.0394
42067,0.0328
54005,0.0074
5111,0.0325
48149,0.0588
5027,0.0359
21217,0.027
37117,0.0064
55137,0.02
1133,0.0163
50015,0.0256
26143,0.0657
31047,0.0415
51630,0.0248
18041,0.0339
19017,0.0346
22085,0.0171
38089,0.0543
18143,0.0337
26137,0.054
20191,0.0185
51027,0.0135
46081,0.0339
54009,0.0263
51139,0.0196
26109,0.0365
54027,0.0146
45039,0.0201
28079,0.0185
48365,0.0413
54109,0.0244
22121,0.0241
39105,0.046
51790,0.025
48225,0.0509
37033,0.0301
55049,0.031
13111,0.0505
13035,0.0389
51099,0.0216
26009,0.0483
37053,0.0246
49051,0.0686
26133,0.0398
8107,0.0597
13205,0.03
29177,0.0312
13081,0.038
22007,0.0382
48293,0.0441
29147,0.0393
29195,0.0434
51147,0.0402
18149,0.0295
21115,0.0155
8119,0.0632
21205,0.0275
13033,0.0483
27093,0.0354
51169,0.0351
48007,0.0455
18047,0.0362
8039,0.0683
29119,0.0189
22075,0.0121
5019,0.0225
