fips,Current Price (2021/4/30)
47017,96833
51035,130310
30013,226391
37033,121246
37035,197349
13047,189996
8015,426332
24017,372861
13051,218845
37037,365727
36015,111313
42029,411689
45023,103235
47023,132807
1021,135182
27025,325140
28019,78084
40023,65384
53009,369273
42031,101329
41007,399711
13063,163825
19043,132122
19045,130960
17027,150063
18023,124251
21053,82824
26037,237051
29049,176964
36019,157286
39027,140489
42035,152947
4003,183805
1033,119318
48083,61628
12021,390447
1035,75222
8021,145643
48099,145899
53015,341755
8025,77076
1043,151243
49009,223767
42043,196821
18027,148608
21059,148283
29061,141152
46035,175702
1049,114718
17037,191948
18033,165346
12027,148316
22031,202838
48123,141004
13087,109258
19053,81230
18031,166727
47039,103795
47043,219977
8033,164821
8035,627167
13097,224240
17041,109063
20045,237291
27041,257459
29067,116502
31055,231033
32005,555683
41019,250013
53017,389827
55031,157027
17043,327112
19061,200760
29069,76269
46045,164806
17047,57964
8041,396643
48141,155222
18039,190141
13107,80122
51059,656564
1057,85406
13113,342368
19065,104010
17051,82947
18041,88909
21067,233380
39047,130306
42051,120897
47047,261449
48149,264162
54019,76168
12035,270253
21069,98429
28035,127518
13117,422144
37067,195005
8043,261660
19071,110234
16043,291922
56013,229545
12039,118617
5051,176225
21079,163970
24023,205475
26049,152090
36037,146917
41021,147116
30035,117774
26051,122688
26053,72304
27049,253237
16047,204466
33009,265446
30039,271324
26057,100333
21085,117619
48181,198524
51077,123097
21089,91495
28043,98027
19077,136612
37083,74402
51083,111698
47063,159157
25013,257225
45049,79644
13141,105747
19081,110702
17067,86827
18059,231334
21091,110960
23009,272101
28045,154071
39063,168953
47067,88325
54029,95481
51085,328679
24025,339493
37085,197638
40061,97159
48207,62455
47073,145673
37087,256629
47075,94559
51087,288595
21105,75714
47081,144608
29085,117853
48215,134187
39073,146121
48219,120179
21107,96755
48223,133247
1069,141743
13153,163092
27055,220248
47083,126257
48225,113219
27057,230181
42063,134743
37097,259594
1071,113882
5067,59708
8057,196733
12063,117278
13157,271519
19097,146377
17077,116451
18071,153281
20085,160038
21109,75016
22049,102753
26075,172008
27063,130496
29095,192061
28059,151465
37099,283228
39079,89962
40065,68502
41029,375280
47087,122929
48239,148882
55053,146626
54035,120880
13165,74515
5071,109254
13167,78874
19103,240251
17087,98788
18081,224683
20091,344170
21115,83301
29101,193320
31097,127872
47091,121077
48251,249937
56019,284250
42067,171808
27065,179091
54039,109815
48257,257092
31099,167676
17093,256816
48259,435506
55059,228461
45055,139286
20095,95789
27069,77384
41035,226558
48273,110855
19109,108892
20099,58591
29105,139405
56021,309920
8069,465101
40077,71766
13175,119090
45059,118294
40079,84032
42075,218483
28083,63247
26091,175249
21133,43229
12077,128905
13179,146372
48291,154423
39089,231986
5079,78500
8073,155750
13181,161518
16063,174964
21137,110964
22061,159537
23015,266009
27081,83126
29113,219280
28085,126242
30053,256020
37109,260401
31111,152539
35027,258048
32017,168630
40081,105191
41041,359418
46083,279533
47103,145822
53043,225432
55069,136044
54043,77394
51107,630387
1085,81096
13185,145658
28087,126141
48303,167652
13187,229915
42079,135529
1089,235549
5087,121304
12079,110850
13195,175644
19121,195357
16065,304032
17119,142438
18095,129397
21151,201170
29123,102201
28089,247624
30057,435624
37115,228463
31119,167557
36053,152711
39097,201175
47113,151289
48313,181917
51113,244252
19123,122021
41045,166603
12081,319016
1091,99458
51115,255673
40087,187303
17111,246805
38049,159703
47109,98954
30059,213155
26107,144352
21165,75082
31121,141161
26111,160133
48329,258227
42087,111458
49027,187951
8079,303575
30061,228545
32021,90224
54057,124671
42093,213952
31123,112102
56025,230525
48349,117478
28099,109471
26123,145416
44005,530169
36063,177240
29147,152706
25021,598759
26125,295921
27109,283762
36069,205277
22071,244442
36073,120363
50019,177659
12097,260441
19143,93483
26133,104494
47133,139320
55089,337890
53049,222603
37137,191991
34031,413125
51141,127855
16075,247258
38067,90086
1107,100634
13227,230085
45077,202327
47137,136250
30073,156597
39133,199103
55097,195831
5117,78854
54077,119358
8099,96026
5119,149435
13235,104614
18131,110892
21199,152433
29169,159605
51155,159536
13239,75134
54081,93614
48381,198802
22079,130546
30081,399315
27127,96735
48391,103188
54085,70828
51161,230270
46109,161021
37155,84933
38079,89224
48399,70778
1113,114116
20167,86108
21207,99630
51167,101647
50021,203786
26145,114428
37163,124545
30089,261346
26151,120133
49039,209419
13251,99279
29203,119484
55115,143591
20177,144908
20181,111418
41055,140356
21213,141114
28127,106814
35053,134661
18147,152037
21215,231516
53063,355049
46117,219846
31167,169004
27145,243041
18151,191992
36101,118389
20189,122516
27149,143988
53065,285669
13259,48030
47161,149105
25025,641613
36103,634486
54089,69315
48437,60009
48439,259421
13271,66032
13273,72526
40141,33624
9013,275722
21223,145877
6105,298046
48455,119475
26157,107455
37177,96134
42121,90952
6111,689853
12127,247057
